episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
179, -4105.199579954147, 2, 17.548459427000125, 287, 80470,                                             80470, 0.0, 5673.578125
180, -3103.638253211975, 2, 13.770486581999648, 195, 80665,                                             80665, 0.0, 4610.09765625
181, -3713.966865301132, 3, 15.35132324999904, 251, 80916,                                             80916, 0.0, 4556.2978515625
182, -3099.8850762844086, 3, 10.341221792999931, 173, 81089,                                             81089, 0.0, 4598.2021484375
183, -2839.3417706489563, 2, 10.932291355000416, 166, 81255,                                             81255, 0.0, 4237.95361328125
184, -3793.2233570814133, 2, 21.75989531199957, 305, 81560,                                             81560, 0.0, 4514.14794921875
185, -4093.3361579179764, 4, 49.839251397001135, 650, 82210,                                             82210, 0.0, 4376.3564453125
186, -3756.529179215431, 3, 23.181902668000475, 352, 82562,                                             82562, 0.0, 4692.97412109375
187, -3636.5585267543793, 2, 18.354891589000545, 307, 82869,                                             82869, 0.0, 168264.84375
188, -4466.944558084011, 2, 32.98805454899957, 537, 83406,                                             83406, 0.0, 4459.9208984375
189, -1188.2855639755726, 1, 34.21856758300055, 560, 83966,                                             83966, 0.0, 4727.01904296875
190, -4518.476016521454, 2, 18.73286721600016, 305, 84271,                                             84271, 0.0, 4388.79736328125
191, -3291.5455827713013, 2, 12.697453205999409, 213, 84484,                                             84484, 0.0, 4534.74267578125
192, -3637.5657093524933, 3, 21.354442018000555, 363, 84847,                                             84847, 0.0, 4892.92138671875
193, -3425.866310238838, 2, 16.1661341300005, 273, 85120,                                             85120, 0.0, 142102.578125
194, -3647.2725397348404, 3, 20.54491934699945, 337, 85457,                                             85457, 0.0, 5739.07470703125
195, 1499.7620461285114, 1, 11.346500731999186, 189, 85646,                                             85646, 0.0, 5905.1181640625
196, -4244.970751523972, 4, 50.02698663299998, 828, 86474,                                             86474, 0.0, 5343.291015625
197, -3869.713257074356, 4, 49.839317115000085, 834, 87308,                                             87308, 0.0, 5920.86474609375
198, -3715.20078933239, 4, 49.827466045999245, 816, 88124,                                             88124, 0.0, 5204.3779296875
199, -5232.284774899483, 2, 38.224237152999194, 634, 88758,                                             88758, 0.0, 5382.89306640625
200, -4815.758694648743, 2, 30.776963932999934, 512, 89270,                                             89270, 0.0, 6850.12255859375
201, -4494.162065029144, 2, 28.36740140599977, 472, 89742,                                             89742, 0.0, 6351.24365234375
202, -3625.3264741301537, 3, 20.170365996000328, 339, 90081,                                             90081, 0.0, 6434.5400390625
203, -1777.1491688489914, 1, 48.216933851999784, 808, 90889,                                             90889, 0.0, 6682.2685546875
204, -3696.425859928131, 4, 50.0501441159995, 830, 91719,                                             91719, 0.0, 6925.86865234375
205, -3892.0010210871696, 3, 24.36964712400004, 407, 92126,                                             92126, 0.0, 6905.8759765625
206, -4570.192302584648, 3, 22.976627686999564, 380, 92506,                                             92506, 0.0, 6384.4052734375
207, -3944.4985073804855, 4, 50.03858098599994, 728, 93234,                                             93234, 0.0, 6934.2353515625
208, -3487.6531261205673, 3, 19.979830727999797, 287, 93521,                                             93521, 0.0, 468836.84375
209, -3897.313371181488, 2, 23.552895292999892, 319, 93840,                                             93840, 0.0, 7083.4716796875
210, -3341.7451754808426, 4, 50.844312278999496, 825, 94665,                                             94665, 0.0, 6644.39404296875
211, -3975.981715977192, 3, 27.15883479400145, 417, 95082,                                             95082, 0.0, 6503.578125
212, -3670.57059442997, 4, 50.04248746399935, 733, 95815,                                             95815, 0.0, 5909.0478515625
213, -4427.439836025238, 3, 26.780971908001447, 383, 96198,                                             96198, 0.0, 5101.5693359375
214, -3213.262347102165, 3, 17.74334863400145, 242, 96440,                                             96440, 0.0, 5907.34716796875
215, -3030.02481508255, 4, 49.83984201899875, 679, 97119,                                             97119, 0.0, 19780.302734375
216, -3475.710758805275, 4, 49.8347321250003, 704, 97823,                                             97823, 0.0, 5811.15673828125
217, -4013.7059687376022, 3, 26.171161867998308, 416, 98239,                                             98239, 0.0, 5708.5390625
218, -3784.479951262474, 3, 24.011507544999404, 316, 98555,                                             98555, 0.0, 5565.7724609375
219, -4352.089431643486, 4, 50.002312507998795, 802, 99357,                                             99357, 0.0, 5645.1103515625
220, -3244.4553624391556, 4, 49.63743365499977, 680, 100037,                                             100037, 0.0, 5334.28466796875
221, -3333.6804338097572, 3, 17.924041435000618, 274, 100311,                                             100311, 0.0, 5461.20166015625
222, -3004.5650938749313, 2, 15.139344695000545, 232, 100543,                                             100543, 0.0, 6103.34521484375
223, -3643.445422410965, 4, 49.84462249100034, 734, 101277,                                             101277, 0.0, 5600.26611328125
224, -4813.7537924051285, 3, 27.78927042900068, 431, 101708,                                             101708, 0.0, 5545.1318359375
225, -3770.341090619564, 2, 23.373077054000532, 370, 102078,                                             102078, 0.0, 5358.2109375
226, -3750.182709813118, 3, 22.976749059998838, 360, 102438,                                             102438, 0.0, 5057.93212890625
227, -4069.96970808506, 3, 23.771575885000857, 374, 102812,                                             102812, 0.0, 5261.8125
228, -4011.9732392430305, 3, 23.359100444000433, 377, 103189,                                             103189, 0.0, 4921.9921875
229, 1724.239621758461, 1, 15.173679432000426, 220, 103409,                                             103409, 0.0, 5537.6484375
230, -3167.8950914144516, 3, 14.119133395000972, 207, 103616,                                             103616, 0.0, 5462.1533203125
231, -5246.703858494759, 3, 42.815346047000276, 665, 104281,                                             104281, 0.0, 5972.55126953125
232, -4591.88265389204, 4, 49.82757424800002, 806, 105087,                                             105087, 0.0, 5925.9794921875
233, -3836.3160325288773, 4, 49.84054041200034, 760, 105847,                                             105847, 0.0, 5275.91796875
234, -4057.8856640458107, 4, 50.6519100860005, 795, 106642,                                             106642, 0.0, 5403.8515625
235, -3711.653701841831, 4, 49.66139357800057, 749, 107391,                                             107391, 0.0, 4977.55419921875
236, 2192.8191121816635, 1, 6.299827971999548, 100, 107491,                                             107491, 0.0, 5605.85205078125
237, -3313.198214173317, 3, 17.96044006000011, 289, 107780,                                             107780, 0.0, 40689.22265625
238, -4786.85653424263, 3, 25.97712110499924, 426, 108206,                                             108206, 0.0, 699442.125
239, -3963.2419018745422, 4, 50.82764014699933, 831, 109037,                                             109037, 0.0, 5768.470703125
240, -3600.4668502807617, 3, 16.557296697999845, 273, 109310,                                             109310, 0.0, 5741.02587890625
241, 2028.7018596231937, 1, 11.911342874000184, 188, 109498,                                             109498, 0.0, 5909.0458984375
242, -4916.675455331802, 2, 22.375494202999107, 371, 109869,                                             109869, 0.0, 28860.248046875
243, -5155.943345785141, 3, 22.953899178999563, 387, 110256,                                             110256, 0.0, 5136.83642578125
244, -6261.768435239792, 2, 48.44043920600052, 821, 111077,                                             111077, 0.0, 5565.53759765625
245, -3520.057603240013, 3, 20.761277502000667, 339, 111416,                                             111416, 0.0, 22934.857421875
246, -3910.9033489227295, 4, 49.64289431799989, 823, 112239,                                             112239, 0.0, 4968.33447265625
247, 1777.9881339669228, 1, 10.926349187000596, 180, 112419,                                             112419, 0.0, 4981.22119140625
248, -3626.3394106030464, 4, 50.250305217999994, 843, 113262,                                             113262, 0.0, 5089.0009765625
249, -6773.5466594696045, 2, 40.8112638370003, 672, 113934,                                             113934, 0.0, 23013.8359375
250, -5246.001676142216, 2, 32.78381727799933, 555, 114489,                                             114489, 0.0, 5054.5595703125
251, -2981.1575511693954, 2, 10.924573025999052, 181, 114670,                                             114670, 0.0, 5301.82373046875
252, -4715.531272053719, 2, 35.19613216899961, 593, 115263,                                             115263, 0.0, 5041.77880859375
253, 569.0941996574402, 1, 25.38802620699971, 426, 115689,                                             115689, 0.0, 5438.0634765625
254, 980.0725229084492, 1, 23.758903842999644, 371, 116060,                                             116060, 0.0, 5655.79443359375
255, -6208.080504953861, 2, 48.43720952500007, 799, 116859,                                             116859, 0.0, 5331.5693359375
256, -3719.771382331848, 3, 17.541918208000425, 292, 117151,                                             117151, 0.0, 4977.609375
257, -3772.546095252037, 3, 19.960161118000542, 323, 117474,                                             117474, 0.0, 4699.4765625
258, -3561.086930334568, 3, 15.942788774000292, 258, 117732,                                             117732, 0.0, 4963.89453125
259, -3052.581833422184, 2, 14.9536042740001, 244, 117976,                                             117976, 0.0, 5469.87548828125
260, -4020.5512843728065, 3, 26.98526209100055, 444, 118420,                                             118420, 0.0, 5109.9609375
261, -4382.259477853775, 2, 24.362536254000588, 403, 118823,                                             118823, 0.0, 4910.92041015625
262, -5264.126759231091, 2, 43.002997043000505, 693, 119516,                                             119516, 0.0, 5161.138671875
